Date,Open,High,Low,Close,Adj Close,Volume
31-Jan-17,226.98,227.6,226.32,227.53,198.11,"75,880,800"
30-Jan-17,228.17,228.2,226.41,227.55,198.13,"79,737,300"
27-Jan-17,229.42,229.59,228.76,228.97,199.37,"59,711,100"
26-Jan-17,229.4,229.71,229.01,229.33,199.68,"59,970,700"
25-Jan-17,228.7,229.57,228.51,229.57,199.89,"84,437,700"
24-Jan-17,226.4,228.08,226.27,227.6,198.17,"95,555,300"
23-Jan-17,226.74,226.81,225.27,226.15,196.91,"75,061,600"
20-Jan-17,226.7,227.31,225.97,226.74,197.42,"129,168,600"
19-Jan-17,226.84,227,225.41,225.91,196.7,"66,608,800"
18-Jan-17,226.54,226.8,225.9,226.75,197.43,"54,793,300"
17-Jan-17,226.31,226.78,225.8,226.25,197,"61,240,800"
13-Jan-17,226.73,227.4,226.69,227.05,197.69,"62,717,900"
12-Jan-17,226.5,226.75,224.96,226.53,197.24,"72,113,200"
11-Jan-17,226.36,227.1,225.59,227.1,197.74,"74,650,000"
10-Jan-17,226.48,227.45,226.01,226.46,197.18,"63,771,900"
09-Jan-17,226.91,227.07,226.42,226.46,197.18,"46,939,700"
06-Jan-17,226.53,227.75,225.9,227.21,197.83,"71,559,900"
05-Jan-17,226.27,226.58,225.48,226.4,197.13,"78,379,000"
04-Jan-17,225.62,226.75,225.61,226.58,197.28,"78,744,400"
03-Jan-17,225.04,225.83,223.88,225.24,196.12,"91,366,500"
30-Dec-16,224.73,224.83,222.73,223.53,194.63,"108,998,300"
29-Dec-16,224.48,224.89,223.84,224.35,195.34,"48,696,100"
28-Dec-16,226.57,226.59,224.27,224.4,195.39,"64,095,000"
27-Dec-16,226.02,226.73,226,226.27,197.01,"42,672,500"
23-Dec-16,225.43,225.72,225.21,225.71,196.53,"36,697,800"
22-Dec-16,225.6,225.74,224.92,225.38,196.24,"56,219,100"
21-Dec-16,226.25,226.45,225.77,225.77,196.58,"67,909,000"
20-Dec-16,226.15,226.57,225.88,226.4,197.13,"89,838,800"
19-Dec-16,225.25,226.02,225.08,225.53,196.37,"90,341,100"
16-Dec-16,1.329 Dividend,,,,,
16-Dec-16,226.01,226.08,224.67,225.04,195.94,"156,420,200"
15-Dec-16,226.16,227.81,225.89,226.81,196.33,"124,972,600"
14-Dec-16,227.41,228.23,225.37,225.88,195.52,"142,501,800"
13-Dec-16,227.02,228.34,227,227.76,197.15,"110,477,500"
